City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,enewetak,11.3474,162.3373,27.4,78,33,8.65,MH,1711328706
161,lihue,21.9789,-159.3672,26.58,67,51,7.0,US,1711328474
162,akrehamn,59.2667,5.1833,4.14,81,7,6.17,NO,1711328707
163,hawaiian paradise park,19.5933,-154.9731,25.73,72,75,6.17,US,1711328708
164,coronel dorrego,-38.7187,-61.2873,16.28,68,8,2.85,AR,1711328708
165,robore,-18.3333,-59.75,27.09,68,100,1.68,BO,1711328709
166,dalandzadgad,43.5708,104.425,5.04,28,59,4.07,MN,1711328710
167,shingu,33.7333,135.9833,13.51,95,100,1.51,JP,1711328711
168,vorgashor,67.5833,63.95,-32.88,100,51,0.2,RU,1711328712
169,mayya,61.7333,130.2811,-16.38,81,100,5.25,RU,1711328712
170,mugia,43.1041,-9.2179,11.06,79,100,7.62,ES,1711328713
171,box elder,41.5005,-112.8764,8.04,45,56,8.3,US,1711328517
172,ocean city,39.2776,-74.5746,6.1,57,0,3.58,US,1711328712
173,qaqortoq,60.7167,-46.0333,-1.48,98,100,2.28,GL,1711328715
174,wuwei,37.9281,102.6414,9.41,49,37,1.62,CN,1711328698
175,aasiaat,68.7098,-52.8699,-7.04,87,100,0.51,GL,1711328717
176,xianyang,34.3378,108.7026,8.58,93,75,2.0,CN,1711328562
177,karratha,-20.7377,116.8463,28.09,38,0,6.39,AU,1711328532
178,antonio enes,-16.2325,39.9086,25.73,90,12,2.96,MZ,1711328542
179,bam,29.106,58.357,21.73,43,100,4.2,IR,1711328719
180,port elizabeth,-33.918,25.5701,22.28,91,0,3.09,ZA,1711328720
181,muang phonsavan,19.45,103.2167,23.39,52,0,0.92,LA,1711328721
182,harstad,68.799,16.5293,-1.58,94,100,6.71,NO,1711328721
183,binjai,3.6001,98.4854,26.97,90,56,0.78,ID,1711328722
184,kailua-kona,19.6406,-155.9956,26.95,70,12,1.34,US,1711328584
185,campo formoso,-10.5075,-40.3214,23.83,58,31,3.99,BR,1711328494
186,egilsstadir,65.2653,-14.3948,-5.05,74,75,1.03,IS,1711328724
187,tekirdag,40.978,27.5085,10.64,86,8,3.64,TR,1711328725
188,invercargill,-46.4,168.35,16.68,50,84,9.39,NZ,1711328725
189,balabac,7.9868,117.0645,28.54,75,19,6.93,PH,1711328726
190,alice springs,-23.7,133.8833,20.12,82,100,5.66,AU,1711328727
191,yaring,6.8662,101.3689,27.94,73,93,3.3,TH,1711328728
192,maiduguri,11.8464,13.1603,24.76,12,7,3.8,NG,1711328728
193,victorica,-36.2151,-65.4359,21.56,47,65,3.63,AR,1711328729
194,bria,6.5423,21.9863,27.19,53,76,0.93,CF,1711328730
195,utrik,11.2278,169.8474,27.27,73,32,8.58,MH,1711328731
196,gaiman,-43.2897,-65.4929,15.9,73,17,4.29,AR,1711328732
197,brokopondo,4.75,-55.1667,27.3,65,93,5.3,SR,1711328733
198,francistown,-21.17,27.5079,17.63,91,12,5.13,BW,1711328733
199,bom jesus,-9.0744,-44.3586,27.91,51,100,0.99,BR,1711328463
200,st. john's,47.5649,-52.7093,8.87,94,100,10.8,CA,1711328646
201,terrace,54.5163,-128.6035,16.95,21,20,1.54,CA,1711328735
202,ust-nera,64.5667,143.2,-7.36,87,100,2.98,RU,1711328736
203,chernyshevskiy,63.0128,112.4714,-19.83,94,61,1.86,RU,1711328737
204,huancavelica,-12.7667,-74.9833,6.37,88,99,0.88,PE,1711328596
205,constantia,44.1833,28.65,7.61,89,75,4.62,RO,1711328738
206,port macquarie,-31.4333,152.9167,25.5,57,0,3.54,AU,1711328487
207,rio grande,-32.035,-52.0986,21.06,80,19,1.96,BR,1711328740
208,weihai,37.5017,122.1136,4.77,95,100,3.27,CN,1711328741
209,male,4.1748,73.5089,28.97,89,20,4.12,MV,1711328742
210,doma,8.3833,8.35,29.69,30,99,0.62,NG,1711328743
211,queenstown,-31.8976,26.8753,15.27,72,73,1.18,ZA,1711328482
212,merizo village,13.2658,144.6691,29.31,89,75,9.51,GU,1711328745
213,kodinsk,58.6881,99.1844,-0.99,92,100,5.1,RU,1711328745
214,san pedro pochutla,15.7333,-96.4667,28.84,61,90,4.64,MX,1711328746
215,quellon,-43.1167,-73.6167,12.15,94,98,0.69,CL,1711328747
216,ust'-charyshskaya pristan',52.3934,83.6635,1.72,83,69,6.69,RU,1711328747
217,forster,-32.1667,152.5167,26.32,60,0,3.21,AU,1711328748
218,keflavik,64.0049,-22.5624,-0.76,69,0,6.17,IS,1711328749
219,fale old settlement,-9.3852,-171.2468,29.4,73,12,4.3,TK,1711328749
220,isna,25.2934,32.554,15.01,45,0,3.34,EG,1711328750
221,naliya,23.2667,68.8333,23.33,81,0,3.22,IN,1711328751
222,cobija,-11.0267,-68.7692,25.38,78,100,1.03,BO,1711328752
223,pointe aux piments,-20.0628,57.5131,23.62,93,100,8.89,MU,1711328752
224,udachny,66.4167,112.4,-19.38,95,100,2.97,RU,1711328492
225,port lincoln,-34.7333,135.8667,17.9,58,0,1.5,AU,1711328753
226,ozersk,55.7556,60.7028,1.29,87,100,3.79,RU,1711328754
227,gladstone,-23.85,151.25,23.96,88,75,3.6,AU,1711328462
228,badger,64.8,-147.5333,11.14,46,0,2.57,US,1711328756
229,nova vicosa,-17.8919,-39.3719,24.92,87,6,2.76,BR,1711328511
230,mana,5.6592,-53.7767,25.93,78,76,4.22,GF,1711328757
231,san jose de jachal,-30.2406,-68.7469,23.12,37,0,2.86,AR,1711328472
232,rockland,41.1668,-74.0496,4.81,53,0,1.34,US,1711328488
233,imperatriz,-5.5264,-47.4917,23.75,96,96,1.17,BR,1711328479
234,erenhot,43.6475,111.9767,2.94,41,0,3.83,CN,1711328674
235,kingston,17.997,-76.7936,27.53,79,40,3.09,JM,1711328495
236,punta arenas,-53.15,-70.9167,9.06,81,0,2.06,CL,1711328731
237,krasnohrad,49.3814,35.4402,4.95,84,100,3.73,UA,1711328762
238,chadron,42.8294,-102.9999,-3.91,86,100,7.2,US,1711328762
239,kozhevnikovo,56.2589,83.9714,0.7,87,100,6.89,RU,1711328763
240,coro,11.4045,-69.6734,26.1,83,46,4.96,VE,1711328764
241,dwarka,22.2394,68.9678,24.5,81,0,3.97,IN,1711328765
242,buala,-8.145,159.5921,28.92,79,43,1.48,SB,1711328766
243,nuku'alofa,-21.1333,-175.2,28.19,78,75,6.17,TO,1711328767
244,kapsan-up,41.0903,128.2933,4.09,97,100,1.89,KP,1711328767
245,khovd,48.0056,91.6419,-0.18,46,15,1.91,MN,1711328768
246,coahuayana de hidalgo,18.7,-103.6583,21.99,62,76,2.06,MX,1711328769
247,raahe,64.6833,24.4833,-5.95,94,100,2.83,FI,1711328769
248,kruisfontein,-34.0033,24.7314,21.05,70,100,1.75,ZA,1711328770
249,summerside,46.3959,-63.7876,0.07,64,100,4.63,CA,1711328504
250,daru,-9.0763,143.2092,30.32,69,56,2.48,PG,1711328772
251,kone,-21.0595,164.8658,28.02,66,92,2.34,NC,1711328772
252,nova sintra,14.8667,-24.7167,19.69,72,33,7.18,CV,1711328773
253,maua,-23.6678,-46.4614,20.76,93,100,1.37,BR,1711328501
254,wanning,18.8003,110.3967,26.89,75,60,5.0,CN,1711328697
255,bethanie,-26.4833,17.15,18.69,33,46,1.4,NA,1711328776
256,suoyarvi,62.0833,32.35,-6.94,99,87,1.17,RU,1711328776
257,hede,33.7681,120.2517,7.79,95,100,7.02,CN,1711328777
258,porto novo,6.4965,2.6036,29.9,85,90,4.03,BJ,1711328778
259,puerto carreno,6.189,-67.4859,31.68,48,43,2.78,CO,1711328778
260,pont-rouge,46.7566,-71.6978,-2.17,70,0,2.51,CA,1711328591
261,shimoda,34.6667,138.95,12.2,91,100,5.85,JP,1711328737
262,jemna,33.5778,9.0147,19.97,29,58,3.05,TN,1711328781
263,beidaihehaibin,39.8222,119.5181,5.32,78,100,2.21,CN,1711328723
264,alesund,62.4723,6.1549,1.85,93,75,3.6,NO,1711328782
265,zaozersk,69.4005,32.4476,-16.42,92,100,1.62,RU,1711328783
266,hadibu,12.65,54.0333,26.87,76,100,3.64,YE,1711328538
267,vegreville,53.5001,-112.0518,-0.97,57,100,6.17,CA,1711328563
268,katsuren-haebaru,26.3369,127.8719,25.78,77,75,7.2,JP,1711328785
269,nukus,42.4531,59.6103,8.99,87,0,1.03,UZ,1711328785
270,pacific grove,36.6177,-121.9166,14.94,77,75,8.49,US,1711328786
271,kupang,-10.1667,123.5833,26.32,100,75,3.6,ID,1711328718
272,poronaysk,49.2167,143.1167,-1.5,58,52,8.23,RU,1711328787
273,wysokie mazowieckie,52.9166,22.5171,1.16,84,70,3.11,PL,1711328788
274,jamestown,42.097,-79.2353,1.8,40,0,4.63,US,1711328789
275,sao desiderio,-12.3633,-44.9733,22.96,66,17,1.62,BR,1711328509
276,lazaro cardenas,17.9583,-102.2,23.67,63,15,4.32,MX,1711328550
277,paraty,-23.2178,-44.7131,22.54,96,100,0.97,BR,1711328750
278,thunder bay,48.4001,-89.3168,-3.01,93,100,3.09,CA,1711328744
279,sheikhpura,25.15,85.85,23.6,55,96,2.69,IN,1711328792
280,puerto penasco,31.3167,-113.5333,18.28,59,13,8.49,MX,1711328793
281,palasa,18.7667,84.4167,24.48,81,0,3.27,IN,1711328793
282,prince rupert,54.3161,-130.3201,10.05,71,0,1.54,CA,1711328794
283,na klang,17.3072,102.1889,28.94,52,0,1.24,TH,1711328795
284,alofi,-19.0595,-169.9187,29.94,79,75,2.06,NU,1711328795
285,dalby,-27.1833,151.2667,19.04,87,100,3.81,AU,1711328796
286,butembo,0.15,29.2833,15.09,93,78,1.12,CD,1711328797
287,baikunthpur,23.25,82.55,22.94,24,0,1.2,IN,1711328798
288,acajutla,13.5928,-89.8275,28.3,77,6,2.38,SV,1711328798
289,port isabel,26.0734,-97.2086,24.05,84,100,8.23,US,1711328701
290,hinton,53.4001,-117.5857,0.86,83,100,1.3,CA,1711328526
291,cromer,52.9312,1.2989,3.0,77,21,2.27,GB,1711328771
292,dryden,49.7833,-92.7503,-6.5,68,100,3.47,CA,1711328801
293,chibougamau,49.9168,-74.3659,-16.21,51,0,0.0,CA,1711328545
294,guerrero negro,27.9769,-114.0611,16.13,58,8,10.85,MX,1711328557
295,usakos,-22.0,15.6,23.71,45,51,2.03,NA,1711328803
296,bor,56.3567,44.0669,3.96,92,100,5.59,RU,1711328804
297,dakoro,14.5106,6.765,24.71,10,95,5.26,NE,1711328804
298,prieska,-29.6641,22.7474,23.34,46,100,2.38,ZA,1711328805
299,taro,-8.3862,115.28,25.0,74,100,0.2,ID,1711328806
300,sabang,5.8933,95.3214,29.11,72,96,5.91,ID,1711328806
301,grand-lahou,5.1367,-5.0242,27.23,86,77,3.61,CI,1711328807
302,lautoka,-17.6167,177.4667,29.92,79,40,4.12,FJ,1711328808
303,baglung,28.2719,83.5898,14.36,68,8,2.14,NP,1711328808
304,labytnangi,66.6572,66.4183,-31.87,91,14,1.95,RU,1711328809
305,rosarito,32.3333,-117.0333,14.77,77,45,10.79,MX,1711328370
306,holualoa,19.6228,-155.9522,24.88,70,21,1.34,US,1711328607
307,bandar-e lengeh,26.5579,54.8807,26.77,56,100,4.76,IR,1711328811
308,nanao,37.05,136.9667,11.26,76,100,5.09,JP,1711328729
309,broken hill,-31.95,141.4333,20.78,25,0,4.04,AU,1711328518
310,parkville,39.3773,-76.5397,6.97,57,0,0.89,US,1711328582
311,tanjungtiram,4.0613,98.3699,26.58,84,98,0.99,ID,1711328814
312,franceville,-1.6333,13.5836,22.22,97,67,0.83,GA,1711328815
313,kargil,34.5667,76.1,-15.47,95,98,0.9,IN,1711328815
314,qarqaraly,49.4058,75.4742,-2.16,93,100,4.61,KZ,1711328816
315,bonthe,7.5264,-12.505,25.53,76,100,2.57,SL,1711328817
316,bamboo flat,11.7,92.7167,25.05,88,100,0.51,IN,1711328817
317,north bay,46.3168,-79.4663,-2.99,39,75,2.06,CA,1711328772
318,korla,41.7597,86.1469,11.08,46,100,2.1,CN,1711328819
319,mokhsogollokh,61.4681,128.9203,-14.32,80,100,4.23,RU,1711328819
320,mutuali,-14.8706,37.0044,19.68,97,98,1.22,MZ,1711328820
321,berdigestyakh,62.0989,126.6992,-11.49,92,100,4.57,RU,1711328821
322,uturoa,-16.7333,-151.4333,28.71,72,13,3.35,PF,1711328822
323,mejit,10.2753,170.8646,27.15,74,0,9.0,MH,1711328822
324,mongo,12.1844,18.693,25.59,12,94,3.54,TD,1711328823
325,brookings,44.3114,-96.7984,-0.46,93,100,7.2,US,1711328779
326,pindushi,62.9152,34.58,-4.87,97,100,2.35,RU,1711328824
327,kununurra,-15.7667,128.7333,29.99,74,40,3.09,AU,1711328825
328,gadzhiyevo,69.2551,33.3362,-17.05,92,100,3.0,RU,1711328826
329,illizi,26.4833,8.4667,21.06,15,68,4.86,DZ,1711328826
330,diamantino,-14.4086,-56.4461,24.11,87,77,1.25,BR,1711328598
331,novyy urgal,51.0736,132.5642,-12.04,75,63,0.27,RU,1711328828
332,nar'yan-mar,67.6713,53.087,-29.94,100,45,1.34,RU,1711328829
333,goure,13.9835,10.2704,23.85,11,99,4.15,NE,1711328829
334,kulhudhuffushi,6.6221,73.07,28.5,75,71,4.6,MV,1711328830
335,severo-yeniseyskiy,60.3725,93.0408,-2.46,93,100,6.26,RU,1711328831
336,smithers,54.7804,-127.1743,15.18,18,0,1.03,CA,1711328711
337,stanthorpe,-28.6667,151.95,17.46,94,100,2.23,AU,1711328833
338,kattivakkam,13.2167,80.3167,25.05,78,0,2.21,IN,1711328834
339,nuuk,64.1835,-51.7216,0.34,86,100,10.29,GL,1711328816
340,broome,42.2506,-75.833,-1.79,68,0,2.06,US,1711328835
341,grants pass,42.439,-123.3284,13.81,73,100,2.57,US,1711328644
342,quimili,-27.6333,-62.4167,26.3,53,0,4.35,AR,1711328823
343,dawson creek,55.7666,-120.2362,1.8,58,96,1.76,CA,1711328839
344,palikir - national government center,6.9248,158.1611,30.47,70,100,6.69,FM,1711328839
345,bel ombre,-4.6167,55.4167,28.36,77,100,2.37,SC,1711328841
346,hami,42.8,93.45,10.13,49,9,2.71,CN,1711328841
347,takoradi,4.8845,-1.7554,27.14,86,13,3.3,GH,1711328842
348,la passe,45.5549,-0.8967,5.55,89,34,2.86,FR,1711328844
349,siwa oasis,29.2041,25.5195,14.45,50,0,3.07,EG,1711328844
350,east london,-33.0153,27.9116,23.35,80,100,9.47,ZA,1711328750
351,warren,39.4334,-84.1666,8.96,50,0,3.6,US,1711328606
352,wad az zaki,14.4619,32.2065,25.16,13,100,5.63,SD,1711328846
353,khairpur mir's,27.5295,68.7617,27.28,27,77,3.81,PK,1711328847
354,cill airne,52.05,-9.5167,9.03,99,100,0.94,IE,1711328848
355,happy valley-goose bay,53.3168,-60.3315,-10.83,73,75,5.66,CA,1711328848
356,ballina,-28.8667,153.5667,21.14,81,100,2.32,AU,1711328849
357,makhambet,47.6667,51.5833,7.92,76,100,1.59,KZ,1711328850
358,ulladulla,-35.35,150.4667,22.68,43,0,2.13,AU,1711328850
359,aioun,16.6614,-9.6149,25.87,18,81,3.58,MR,1711328851
360,suva,-18.1416,178.4415,28.71,79,75,2.06,FJ,1711328852
361,nouadhibou,20.931,-17.0347,18.99,88,0,1.03,MR,1711328853
362,hasaki,35.7333,140.8333,13.22,83,100,6.33,JP,1711328707
